X,usrindex,conssent1,conssent2,conssent3,cred1,cred2,cred3,cred4,indices1,indices2,indices3,indices5,indices6,indices8,housing1,housing2,housing3,manu1,manu2,manu5,manu6,macro2,macro3,macro4,equities1,equities2,equities3,equities4,emp1,emp2,emp3,emp4,emp5,emp6,emp7,yc2,yc3,yc4,yc5,yc6,yc7
1980-03-01,1.0,-0.0062630480167013,0.7512437810945273,5.0,0.3548551093035077,1.4179999999999993,0.3545454545454536,7.0,-2.2277,-1.4838,0.001680672268907557,-29.333333333333332,35.19,0.0,-0.25775950668036995,-0.10688836104513066,535.6666666666666,1.0186046511627906,46.9,-0.24428093645484947,1.0,88.29750000000003,1.4,-7.700000000000001,-0.06613611416026333,5.0,0.15436922683987794,0.8509535655058044,0.11157826649417846,0.2264808362369337,1.264367816091954,2.0,429.25000000000006,0.019951822371177208,19.0,2.0,0.9937116805533721,15.000000000000043,-0.7169999999999996,1.3569321533923322,-1.4429999999999987
1980-04-01,1.0,-0.08898085876875328,0.7738619676945669,5.0,0.30523255813953476,1.842999999999999,0.6929133858267724,8.0,-3.392,-3.4492,-0.008389261744966459,-43.333333333333336,35.19,0.0,-0.37687237866986223,-0.14014251781472686,461.6666666666667,0.7064017660044151,40.49999999999999,-0.12365007541478128,1.0,88.87000000000003,1.4,-10.399999999999999,0.04390100176782563,4.0,3.0254446570291686,0.835820895522388,0.23181962527786593,0.27496991576413965,1.5222701149425288,2.0,497.9000000000001,0.01781662387293248,16.0,2.0,0.8459361735576166,-0.8713692946058065,-0.367,-1.2660944206008586,-0.6129999999999995
1980-05-01,1.0,-0.16241540864133264,0.7716417910447761,5.0,0.14673913043478248,2.250499999999999,0.772357723577235,7.0,-3.0187,-3.5895,-0.018425460636515956,-56.666666666666664,35.19,0.0,-0.46870199692780334,-0.18224299065420557,437.6666666666667,0.7687687687687689,33.39999999999999,-0.24480392156862743,1.0,88.81750000000004,1.4,-10.3,0.04785229841748295,4.0,1.9640988863067195,0.9301755113322279,0.4090770636612855,0.8010057471264367,1.7124316939890711,2.0,591.3500000000001,0.013301623810427543,15.0,3.0,0.805848137085364,-7.096774193548274,0.15799999999999947,-3.25812274368231,1.4370000000000003
1980-06-01,1.0,-0.1250000000000001,0.7716417910447761,5.0,0.04533450704225328,2.692999999999999,0.613636363636364,6.0,-1.9083,-2.0019,-0.021775544388609736,-60.0,83.57,0.0,-0.43356097560975615,-0.18333333333333335,463.6666666666667,0.6487935656836461,29.84999999999999,-0.13523127199597787,1.0,88.20500000000004,-0.7,-10.2,0.05836575875486383,5.0,1.309579141770946,0.9449281370923162,0.4518976169461606,0.6584699453551912,1.6005273566249176,1.0,616.3000000000002,0.00761181948477252,13.0,4.0,0.7932714981921081,-12.692307692307793,0.4930000000000003,-2.2950819672131164,2.3570000000000007
1980-07-01,1.0,-0.09722948248823826,0.7716417910447761,6.0,0.013858813339107545,2.7129999999999996,0.18796992481203012,5.0,-0.6624,-1.2219,-0.026711185308848084,-49.333333333333336,83.57,1.0,-0.3335968379446641,-0.19761904761904758,552.3333333333334,1.223728813559322,32.64999999999999,-0.14394586894586892,2.0,86.33000000000004,-0.7,-8.6,0.0657848633496847,6.0,0.863556009185564,1.0,0.3793613246599645,0.4746209624258404,1.4525974025974027,0.5,581.4000000000001,0.0008885104492530882,18.0,5.0,0.8459361735576166,36.11111111111342,0.6380000000000008,-3.4677419354838714,2.177000000000001
1980-08-01,0.0,-0.033863519753719595,0.7716417910447761,6.0,-0.022708840227088745,2.2555,0.26890756302521046,5.0,0.6281,0.5164,-0.021739130434782594,-22.666666666666668,83.57,2.0,-0.2141849687688897,-0.20763723150357993,615.6666666666666,1.4388297872340425,40.24999999999999,-0.06418396418396415,3.0,85.76500000000004,-0.7,-7.5,0.07672004223121598,6.0,-2.286913798546988,1.0,0.2924415116976604,0.3350515463917525,1.3454545454545455,1.5,537.0000000000001,-0.0021727803828971437,36.0,5.0,0.908033328093067,-0.8530183727034097,0.2779999999999996,-2.2360248447204976,1.867
1980-09-01,0.0,0.06775210084033612,0.7716417910447761,6.0,-0.05703564727955002,1.9855,0.12751677852349097,5.0,1.4323,1.3251,-0.011744966442953086,17.333333333333332,75.0,3.0,-0.13709677419354827,-0.18644067796610164,630.3333333333334,1.1898454746136866,47.8,-0.24515757994018858,4.0,85.78750000000004,-1.6,-5.8999999999999995,0.22891566265060237,6.0,-2.2590729120748865,1.0,0.1646784986907186,0.25389610389610384,1.2001243008079552,2.5,499.7000000000001,-0.0025587345894394486,42.0,5.0,0.9324005659487501,-0.9672619047619043,-0.06700000000000106,-1.264080100125157,1.0069999999999997
1980-10-01,0.0,0.22657580919931886,0.7716417910447761,6.0,-0.03971789161098771,1.7730000000000001,-0.10697674418604675,5.0,1.6311,1.5472,0.0050761421319796,54.0,75.0,4.0,-0.10440456769983686,-0.17647058823529416,605.3333333333334,1.4510250569476084,52.8,-0.3099723947550034,4.0,86.58250000000004,-1.6,-5.4,0.19926615862263608,6.0,-1.3155434336084872,1.0,-0.06161381799432841,0.062150403977625945,1.0313820156910078,3.0,454.25000000000006,-0.0011287181303115679,48.0,4.0,0.9795629617984593,3.548387096774137,-0.15200000000000102,-1.6666666666666698,0.08699999999999974
1980-11-01,0.0,0.4008701056556869,0.7716417910447761,7.0,0.05450236966824629,1.7805,-0.2339449541284403,5.0,1.0019,1.0292,0.018771331058020424,79.33333333333333,75.0,5.0,-0.036713286713286664,-0.15249999999999997,573.0,1.5473933649289098,56.85000000000001,-0.17473429951690814,5.0,87.56500000000004,-1.6,-4.699999999999999,0.2632146709816614,7.0,-0.5476094001770542,1.0,-0.2751837440553394,-0.017921146953404965,1.0,4.0,418.55000000000007,0.00024319872652300845,46.0,4.0,1.0,-2.1164021164021127,-0.3520000000000003,-1.7026378896882488,-1.0030000000000001
1980-12-01,0.0,0.3255671367259352,0.7716417910447761,7.0,0.16505263157894756,2.058,-0.09389671361502394,5.0,0.1133,0.4526,0.02568493150684925,86.66666666666667,24.86,6.0,-0.003351687814220572,-0.1511335012594458,551.6666666666666,0.9961089494163425,55.60000000000001,-0.12999999999999992,5.0,88.70000000000005,0.0,-5.5,0.18837535014005602,8.0,-0.1359482048624705,0.935209547077617,-0.3345491388044579,-0.049275362318840554,1.0,5.0,410.10000000000014,0.0016597296591114308,48.0,4.0,0.9772048420059738,-1.2664473684210538,-0.2919999999999998,-1.8444846292947559,-1.8129999999999997
